"","R","package","C","C/C++ Header","Fortran 77","Bourne Shell","HTML","C++","make","Java","m4","CSS","Perl","Teamcenter def","Visual Basic","YAML","XML","Assembly"
"1",74,"dichromat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",157,"bitops",194,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",273,"DBI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",315,"proto",0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0
"5",332,"munsell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",384,"digest",2747,1012,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"7",559,"labeling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",622,"reshape2",0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0
"9",633,"stringr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",801,"gtable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",865,"scales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",966,"RColorBrewer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1125,"RMySQL",2304,419,0,3471,0,0,0,0,0,0,0,0,0,0,0,0
"14",1180,"LPCM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1194,"colorspace",1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1275,"iterators",0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
"17",1756,"RCurl",2473,658,0,6647,3726,0,0,0,0,0,0,0,0,0,1736,1125
"18",1888,"foreach",0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
"19",1898,"rJava",4711,292,0,11235,11602,0,113,7787,599,443,34,10,0,0,0,0
"20",2028,"SparseM",0,0,3958,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2926,"plyr",0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
"22",3730,"devtools",13,5,0,0,0,26,0,0,0,0,0,0,0,14,0,0
"23",6773,"quantreg",848,75,6352,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",7117,"Rcpp",52,72541,0,23,0,7128,31,0,0,0,0,0,0,0,0,0
"25",9289,"ggplot2",0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0
