"","X","x"
"1863","DBI",53337
"2702","ggplot2",49125
"5112","rJava",46878
"5917","stringr",39485
"4901","Rcpp",37961
"4499","plyr",37426
"2480","foreach",36843
"3176","iterators",36324
"1969","digest",30045
"5017","reshape2",27636
"4899","RColorBrewer",24707
"5422","scales",23195
"1648","colorspace",22481
"1329","bitops",21226
"4628","proto",20309
"1938","devtools",19970
"4922","RCurl",19662
"3935","munsell",19658
"5162","RMySQL",19558
"3289","labeling",19405
"2853","gtable",19307
"1958","dichromat",19191
"5752","SparseM",18496
"4730","quantreg",17451
"3460","LPCM",16521
"1457","car",16496
"3260","knitr",16442
"5680","snow",16222
"5113","RJDBC",16016
"2260","evaluate",15940
"6460","zoo",15768
"2049","doSNOW",15343
"6312","VIF",15175
"2856","gtools",14925
"3012","httr",14789
"3544","markdown",13706
"3714","mime",12860
"3554","MASS",12855
"6426","XML",12515
"2971","Hmisc",12505
"1473","caTools",12096
"3967","mvtnorm",11712
"2489","formatR",11365
"2953","highr",11224
"3317","latticeExtra",10916
"6431","xtable",10915
"3315","lattice",10314
"3397","lme4",10311
"2490","Formula",10221
"5120","RJSONIO",10175
"6437","yaml",9859
"5992","swirl",9854
"4910","RcppEigen",9750
"2617","gdata",9735
"6065","testthat",9691
"3639","memoise",9688
"6424","xlsx",9115
"2110","e1071",8890
"3236","KernSmooth",8845
"3723","minqa",8675
"5567","shiny",8346
"1840","data.table",8323
"3532","maps",8242
"5403","sandwich",8179
"5016","reshape",8105
"5059","rgl",8069
"6425","xlsxjars",7845
"3078","igraph",7666
"5726","sp",7656
"3565","Matrix",7560
"6379","whisker",7286
"5171","RNetCDF",7187
"3011","httpuv",7150
"5311","RSQLite",6997
"4615","profr",6983
"1498","CDFt",6926
"4616","proftools",6926
"2786","gplots",6832
"4654","psych",6693
"6433","xts",6609
"1463","caret",6606
"5957","survival",6554
"4990","relimp",6482
"3416","lmtest",6458
"4903","RcppArmadillo",6028
"2483","foreign",5859
"4721","quadprog",5779
"3534","maptools",5686
"4483","plotrix",5669
"1552","chron",5591
"3903","multcomp",5572
"927","abind",5342
"5213","RODBC",5328
"4793","randomForest",5263
"5235","rpart",5212
"2760","gnm",5032
"5119","rjson",4993
"1394","BradleyTerry2",4973
"6198","tseries",4960
"6423","XLConnect",4931
"3350","leaps",4783
"4740","qvcalc",4776
"1403","brglm",4755
"6098","timeDate",4706
"4613","profileModel",4660
"1592","cluster",4616
"5051","rgdal",4595
"6081","TH.data",4570
"3683","mgcv",4563
"4046","nlme",4557
"1632","coda",4438
"5833","sqldf",4403
"4068","nnet",4277
"5428","scatterplot3d",4192
"1374","boot",4125
"2482","forecast",4001
"4864","Rcmdr",3993
"6121","tm",3941
"5635","slam",3912
"2144","effects",3850
"4508","png",3850
"3820","modeltools",3831
"5312","RSQLite.extfuns",3818
"2852","gsubfn",3782
"3215","jsonlite",3775
"5500","sem",3748
"6290","vcd",3722
"5055","rgeos",3676
"2736","glmnet",3674
"6267","UsingR",3653
"1571","class",3612
"3493","lubridate",3564
"4295","party",3542
"2848","gss",3444
"5195","robustbase",3429
"2813","gridExtra",3412
"1055","ape",3397
"6042","tcltk2",3386
"4127","numDeriv",3374
"6223","TTR",3364
"2059","dplyr",3342
"3235","kernlab",3310
"4728","quantmod",3283
"5759","spatial",3269
"2416","fields",3252
"6107","timeSeries",3166
"3531","mapproj",3146
"3510","magrittr",3054
"5918","strucchange",3008
"3566","matrixcalc",2990
"3296","Lahman",2958
"5210","ROCR",2860
"2933","hflights",2854
"1640","coin",2853
"5068","RGtk2",2817
"1100","assertthat",2793
"6301","vegan",2768
"1895","Defaults",2766
"2366","fBasics",2738
"5737","spam",2722
"4822","raster",2700
"1263","BH",2696
"4747","R.methodsS3",2688
"3600","mclust",2685
"2503","fracdiff",2669
"3526","mapdata",2644
"1402","brew",2640
"1915","DEoptimR",2627
"6308","VGAM",2535
"2166","ellipse",2461
"1056","aplpack",2452
"5878","statmod",2442
"5859","stabledist",2415
"4391","permute",2412
"2931","hexbin",2341
"6395","wordcloud",2312
"3570","matrixStats",2294
"4750","R.utils",2293
"4605","pROC",2286
"3213","jpeg",2222
"3005","htmltools",2220
"963","ade4",2216
"4828","rattle",2209
"1899","deldir",2207
"5062","RgoogleMaps",2140
"3808","mnormt",2139
"2606","gbm",2126
"3421","locfit",2122
"5782","spdep",2068
"1652","combinat",2052
"3466","lpSolve",1989
"4748","R.oo",1987
"5548","sfsmisc",1965
"3351","LearnBayes",1963
"3112","installr",1958
"1717","corpcor",1920
"6158","tree",1897
"2296","expm",1895
"3322","lavaan",1881
"3693","mice",1878
"6258","urca",1852
"2850","gstat",1834
"2698","ggmap",1829
"4487","pls",1821
"2756","gmodels",1803
"1077","arm",1792
"2770","googleVis",1780
"1714","CORElearn",1749
"1088","arules",1731
"2576","gam",1718
"2612","gclus",1711
"2452","flexmix",1709
"5773","spatstat",1667
"1930","deSolve",1661
"5339","RUnit",1661
"1060","AppliedPredictiveModeling",1656
"2473","FNN",1656
"5232","roxygen2",1648
"2323","FactoMineR",1612
"5360","RWeka",1598
"1327","bit",1589
"3247","klaR",1588
"5642","sm",1567
"3772","mlbench",1559
"5159","rms",1546
"5953","survey",1536
"3731","misc3d",1529
"4337","pcaPP",1522
"2045","doParallel",1507
"4633","proxy",1505
"5681","SnowballC",1491
"5734","spacetime",1491
"5537","seriation",1484
